1	\n            Запис %@ — %@\n            Голос: %@\n            Довжина: %@ символів\n            Текст:\n            %@\n            
2	\nRHVoice UA. Copyright © 2026 ГО «Харківський центр реабілітації молодих осіб з інвалідністю та членів їх сімей «Право вибору».\n\nЦя програма розповсюджується за GNU General Public License версії 3 або, на ваш вибір, будь-якої пізнішої версії, разом із додатковим дозволом на розповсюдження через Apple App Store.\n\nПрограма постачається БЕЗ ЖОДНИХ ГАРАНТІЙ, у тому числі без гарантій придатності для продажу чи для конкретної мети.\n\nВи маєте право поширювати копії цієї програми та змінювати її на умовах GPL-3. Ви також маєте право отримати повний вихідний код саме цієї збірки.\n
3	%.1f МБ
4	%@ відсотків
5	%@ мс
6	%@ символів
7	%@ — %@ МБ
8	%@, вимова %@
9	%@, читати як %@
10	%@. Ліцензія: %@. Атрибуція: %@. %@
11	, завантаження %@ відсотків
12	, завантажено
13	, не завантажено
14	1. Увімкніть «Розширену діагностику» на головному екрані. 2. Прочитайте потрібний текст голосом RHVoice у будь-якому застосунку. 3. Поверніться сюди, натисніть «Оновити», потім «Скопіювати записи» і вставте їх у повідомлення розробнику.
15	4 голоси
16	Copyright (c) 2001-2015 Nagoya Institute of Technology; 2001-2008 Tokyo Institute of Technology. All rights reserved. Файли у складі RHVoice змінені авторкою рушія.
17	GPL-3.0 або пізніша (частина файлів — LGPL-2.1)
18	GPL-3.0 або пізніша, з дозволом для App Store
19	RHVoice UA (цей застосунок)
20	iPhone або iPad
21	user_dictionary.txt: %@ байт
22	user_dictionary.txt: не створено
23	user_dictionary_meta.json: %@ байт
24	user_dictionary_meta.json: не створено
25	Анатол
26	Англійська
27	Англійські мовні дані (cmulex)
28	Атрибуція: %@
29	Базова заміна: %@, читати як %@
30	Базові заміни
31	Ben
32	Вбудована мова
33	Версія %@, збірка %@
34	Версія %@, збірка %@. Вихідний код цієї збірки позначено тегом build-%@ у репозиторії проєкту.
35	Виберіть Anatol, Marianna, Natalia або Volodymyr.
36	Вибирає готовий множник темпу для голосу %@. Нормально не змінює системну швидкість VoiceOver.
37	Видалити
38	Видалити %@
39	Видалити голос
40	Видалити голос %@
41	Видалити голос %@?
42	Видалити запис «%@»?
43	Видалити запис?
44	Вимкнений
45	Вимкнено
46	Вимова
47	Вихідний код відкритий. Ви маєте право отримати повний код саме цієї збірки, змінювати його і поширювати далі на умовах GPL-3.
48	Вихідний код застосунку
49	Вихідний код застосунку на GitHub
50	Власний словник замін порожній
51	Власних записів ще немає.
52	Власні записи
53	Володимир
54	Встановлює паузу після крапки, коми, знаку оклику та знаку питання для голосу %@.
55	Відкриває підтвердження перед видаленням запису.
56	Відкриває репозиторій із повним вихідним кодом.
57	Відкриває системне меню для надсилання діагностики застосунку. Журнал VoiceOver доступний по кабелю.
58	Відкриває системне меню, щоб надіслати файл власних скорочень.
59	Відкриває форму нового слова.
60	Відкрийте VoiceOver.
61	Відкрийте Мовлення.
62	Відкрийте Налаштування.
63	Відкрийте Системні параметри.
64	Відкрийте налаштування голосу або мовлення VoiceOver.
65	Відкрити ліцензію або проєкт
66	Відкрити ліцензію для %@
67	Відкрити ліцензії і атрибуцію RHVoice та голосів.
68	Відкрити налаштування голосу
69	Відкрити особистий словник вимови.
70	Відкрити повні тексти
71	Відкрити повні тексти ліцензій
72	Відкрити редагування запису. Доступна дія: Видалити.
73	Відкрити системний вибір текстового файлу словника.
74	Відкрити список голосів для завантаження
75	Відкрити список ліцензій і авторів голосів.
76	Відкрити форму нового слова або заміни.
77	Відкрити інструкцію для увімкнення українського голосу у VoiceOver.
78	Відкрити інформацію про застосунок і підтримку проєкту.
79	ГО «Право вибору»
80	Голос %@ вибрано для прослуховування.
81	Голос %@ видалено.
82	Голос %@ завантажено. Тепер його можна увімкнути у VoiceOver.
83	Голос зникне з VoiceOver, його можна буде завантажити знову.
84	Голос зникне з VoiceOver. Його можна буде завантажити знову.
85	Голос ще жодного разу не звертався до синтезатора після встановлення цієї збірки. Прочитайте будь-який текст голосом RHVoice і натисніть «Оновити».
86	Голоси
87	Голоси переопубліковано: %@. Перевірте самоперевірку.
88	Голоси створені в межах проєкту «Синтезатор української мови». Контакти: facebook.com/syntezator, vp88.mobile@gmail.com, rhvoice.su.
89	Готую голос %@…
90	Групами: кожна частина номера читається як число. По цифрах: стара поведінка для запису номера на слух.
91	Детальний множник
